level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	142	279	205	61	-1	
3	1	1	1	0	0	142	279	205	61	-1	
4	1	1	1	1	0	142	279	205	61	-1	
5	1	1	1	1	1	142	279	205	61	96	Wyatt
2	1	2	0	0	0	142	367	230	60	-1	
3	1	2	1	0	0	142	367	230	60	-1	
4	1	2	1	1	0	142	367	180	21	-1	
5	1	2	1	1	1	142	368	27	20	96	47
5	1	2	1	1	2	179	368	48	19	95	Elm
5	1	2	1	1	3	238	367	84	20	96	Avenue
4	1	2	1	2	0	143	401	229	26	-1	
5	1	2	1	2	1	143	401	89	26	96	Sydney,
5	1	2	1	2	2	245	401	63	21	96	NSW
5	1	2	1	2	3	319	403	53	19	96	2350
2	1	3	0	0	0	101	634	229	125	-1	
3	1	3	1	0	0	101	634	229	125	-1	
4	1	3	1	1	0	101	634	94	19	-1	
5	1	3	1	1	1	101	634	47	19	96	Bill
5	1	3	1	1	2	160	635	35	18	96	to:
4	1	3	1	2	0	101	667	226	24	-1	
5	1	3	1	2	1	101	667	123	24	96	Esperanza
5	1	3	1	2	2	234	667	93	19	96	Holland
4	1	3	1	3	0	101	700	186	20	-1	
5	1	3	1	3	1	101	701	24	19	96	31
5	1	3	1	3	2	138	700	67	19	96	Peace
5	1	3	1	3	3	216	700	71	20	96	Route
4	1	3	1	4	0	101	733	229	26	-1	
5	1	3	1	4	1	101	733	90	26	96	Sydney,
5	1	3	1	4	2	203	733	63	21	96	NSW
5	1	3	1	4	3	277	735	53	19	96	2335
2	1	4	0	0	0	551	634	229	125	-1	
3	1	4	1	0	0	552	634	105	24	-1	
4	1	4	1	1	0	552	634	105	24	-1	
5	1	4	1	1	1	552	634	59	24	96	Ship
5	1	4	1	1	2	623	635	34	18	96	to:
3	1	4	2	0	0	551	667	143	25	-1	
4	1	4	2	1	0	551	667	143	25	-1	
5	1	4	2	1	1	551	667	67	19	96	Talon
5	1	4	2	1	2	628	667	66	25	95	Boyle
3	1	4	3	0	0	551	699	229	60	-1	
4	1	4	3	1	0	551	699	215	25	-1	
5	1	4	3	1	1	551	701	24	19	95	81
5	1	4	3	1	2	588	699	84	25	96	Chapel
5	1	4	3	1	3	682	699	84	20	96	Avenue
4	1	4	3	2	0	551	733	229	26	-1	
5	1	4	3	2	1	551	733	90	26	96	Sydney,
5	1	4	3	2	2	653	733	63	21	95	NSW
5	1	4	3	2	3	727	735	53	19	96	2092
2	1	5	0	0	0	1474	299	136	27	-1	
3	1	5	1	0	0	1474	299	136	27	-1	
4	1	5	1	1	0	1474	299	136	27	-1	
5	1	5	1	1	1	1474	299	136	27	96	Invoice
2	1	6	0	0	0	1278	368	333	126	-1	
3	1	6	1	0	0	1278	368	333	87	-1	
4	1	6	1	1	0	1346	368	265	24	-1	
5	1	6	1	1	1	1346	368	97	19	88	Invoice
5	1	6	1	1	2	1456	368	30	24	88	#:
5	1	6	1	1	3	1502	368	109	20	96	02117107
4	1	6	1	2	0	1278	400	332	28	-1	
5	1	6	1	2	1	1278	402	97	19	96	Invoice
5	1	6	1	2	2	1387	402	71	19	96	Date:
5	1	6	1	2	3	1474	400	136	28	96	01/01/2022
4	1	6	1	3	0	1413	435	197	20	-1	
5	1	6	1	3	1	1413	435	76	19	96	ABN:
5	1	6	1	3	2	1502	435	108	20	96	31708508
3	1	6	2	0	0	1320	466	289	28	-1	
4	1	6	2	1	0	1320	466	289	28	-1	
5	1	6	2	1	1	1320	468	55	19	96	Due
5	1	6	2	1	2	1387	468	71	19	95	Date:
5	1	6	2	1	3	1476	466	133	28	96	12/30/2021
2	1	7	0	0	0	101	930	1499	1	-1	
3	1	7	1	0	0	101	930	1499	1	-1	
4	1	7	1	1	0	101	930	1499	1	-1	
5	1	7	1	1	1	101	930	1499	1	95	 
2	1	8	0	0	0	263	897	1204	564	-1	
3	1	8	1	0	0	263	897	1204	390	-1	
4	1	8	1	1	0	263	897	1204	32	-1	
5	1	8	1	1	1	263	901	50	25	96	Qty
5	1	8	1	1	2	568	897	174	32	96	Description
5	1	8	1	1	3	965	901	61	19	95	Unit
5	1	8	1	1	4	1039	901	71	19	96	Price
5	1	8	1	1	5	1357	901	110	19	96	Amount
4	1	8	1	2	0	282	968	1150	20	-1	
5	1	8	1	2	1	282	969	11	19	96	3
5	1	8	1	2	2	637	968	51	19	96	desk
5	1	8	1	2	3	1025	968	24	20	93	75
5	1	8	1	2	4	1393	969	39	19	96	225
4	1	8	1	3	0	282	997	1143	33	-1	
5	1	8	1	3	1	282	1002	11	18	96	2
5	1	8	1	3	2	596	997	133	33	96	conditioner
5	1	8	1	3	3	1025	1001	26	20	96	27
5	1	8	1	3	4	1400	1002	25	19	94	54
4	1	8	1	4	0	281	1035	1151	20	-1	
5	1	8	1	4	1	281	1035	12	19	96	4
5	1	8	1	4	2	606	1035	112	19	96	television
5	1	8	1	4	3	1025	1036	25	19	95	90
5	1	8	1	4	4	1393	1036	39	19	96	360
4	1	8	1	5	0	282	1064	1150	33	-1	
5	1	8	1	5	1	282	1069	11	18	96	2
5	1	8	1	5	2	622	1064	80	33	96	drawer
5	1	8	1	5	3	1025	1069	25	19	95	58
5	1	8	1	5	4	1394	1069	38	19	96	116
4	1	8	1	6	0	282	1101	1150	20	-1	
5	1	8	1	6	1	282	1102	11	19	94	5
5	1	8	1	6	2	650	1103	25	17	93	tv
5	1	8	1	6	3	1025	1101	25	20	96	79
5	1	8	1	6	4	1393	1102	39	19	96	395
4	1	8	1	7	0	283	1134	1142	20	-1	
5	1	8	1	7	1	283	1135	9	18	95	1
5	1	8	1	7	2	632	1134	60	19	96	radio
5	1	8	1	7	3	1025	1134	25	20	93	76
5	1	8	1	7	4	1400	1134	25	20	93	76
4	1	8	1	8	0	282	1163	1150	33	-1	
5	1	8	1	8	1	282	1168	11	19	91	5
5	1	8	1	8	2	622	1163	80	33	96	drawer
5	1	8	1	8	3	1025	1168	25	19	95	58
5	1	8	1	8	4	1393	1168	39	19	96	290
4	1	8	1	9	0	282	1197	1150	33	-1	
5	1	8	1	9	1	282	1202	11	19	96	3
5	1	8	1	9	2	636	1197	53	33	96	door
5	1	8	1	9	3	1025	1202	25	19	96	55
5	1	8	1	9	4	1394	1202	38	19	96	165
4	1	8	1	10	0	282	1230	1143	33	-1	
5	1	8	1	10	1	282	1235	11	18	96	2
5	1	8	1	10	2	585	1230	154	33	96	thermometer
5	1	8	1	10	3	1026	1235	24	19	96	18
5	1	8	1	10	4	1400	1235	25	19	93	36
4	1	8	1	11	0	281	1267	1151	20	-1	
5	1	8	1	11	1	281	1267	12	19	96	4
5	1	8	1	11	2	619	1267	47	19	96	hair
5	1	8	1	11	3	676	1268	29	18	96	tie
5	1	8	1	11	4	1025	1268	25	19	90	33
5	1	8	1	11	5	1394	1268	38	19	91	132
3	1	8	2	0	0	987	1332	470	21	-1	
4	1	8	2	1	0	987	1332	470	21	-1	
5	1	8	2	1	1	987	1332	101	21	96	Subtotal
5	1	8	2	1	2	1370	1333	87	20	96	1849.00
3	1	8	3	0	0	1002	1366	461	86	-1	
4	1	8	3	1	0	1010	1366	440	21	-1	
5	1	8	3	1	1	1010	1366	55	21	94	GST
5	1	8	3	1	2	1377	1367	73	20	96	184.90
4	1	8	3	2	0	1002	1429	461	32	-1	
5	1	8	3	2	1	1002	1429	71	32	96	Total
5	1	8	3	2	2	1362	1434	101	18	95	2033.90
2	1	9	0	0	0	101	1944	307	52	-1	
3	1	9	1	0	0	101	1944	307	52	-1	
4	1	9	1	1	0	101	1944	307	19	-1	
5	1	9	1	1	1	101	1944	84	19	96	Terms
5	1	9	1	1	2	197	1944	50	19	96	and
5	1	9	1	1	3	260	1944	148	19	96	Conditions
4	1	9	1	2	0	101	1977	106	19	-1	
5	1	9	1	2	1	101	1977	106	19	93	Blahblah
