level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	815	923	-1	
2	1	1	0	0	0	39	49	188	12	-1	
3	1	1	1	0	0	39	49	188	12	-1	
4	1	1	1	1	0	39	49	188	12	-1	
5	1	1	1	1	1	39	49	58	12	93	Facture
5	1	1	1	1	2	103	49	16	12	91	N°
5	1	1	1	1	3	125	49	102	12	91	F/10.2018/091
2	1	2	0	0	0	39	74	170	27	-1	
3	1	2	1	0	0	39	74	170	27	-1	
4	1	2	1	1	0	39	74	170	10	-1	
5	1	2	1	1	1	39	74	27	10	96	Date
5	1	2	1	1	2	70	74	14	10	96	de
5	1	2	1	1	3	88	74	45	10	56	création
5	1	2	1	1	4	133	65	10	28	78	:
5	1	2	1	1	5	145	74	64	10	95	05/10/2018
4	1	2	1	2	0	39	91	155	10	-1	
5	1	2	1	2	1	39	91	27	10	95	Date
5	1	2	1	2	2	70	91	14	10	95	de
5	1	2	1	2	3	88	92	31	9	93	vente
5	1	2	1	2	4	121	82	5	28	88	:
5	1	2	1	2	5	131	91	63	10	92	05/11/2018
2	1	3	0	0	0	38	182	166	95	-1	
3	1	3	1	0	0	39	182	39	10	-1	
4	1	3	1	1	0	39	182	39	10	-1	
5	1	3	1	1	1	39	182	39	10	77	FIDELI
3	1	3	2	0	0	39	199	123	10	-1	
4	1	3	2	1	0	39	199	123	10	-1	
5	1	3	2	1	1	39	199	14	10	94	32
5	1	3	2	1	2	57	199	23	10	96	Rue
5	1	3	2	1	3	84	199	14	10	96	du
5	1	3	2	1	4	102	202	60	7	95	commerce
3	1	3	3	0	0	38	216	166	61	-1	
4	1	3	3	1	0	39	216	165	12	-1	
5	1	3	3	1	1	39	216	35	10	87	75022
5	1	3	3	1	2	79	216	29	10	93	Paris
5	1	3	3	1	3	112	216	47	12	93	CEDEX,
5	1	3	3	1	4	164	216	40	10	95	France
4	1	3	3	2	0	39	233	159	10	-1	
5	1	3	3	2	1	39	233	45	10	81	Numéro
5	1	3	3	2	2	88	233	25	10	92	TVA
5	1	3	3	2	3	117	233	81	10	90	FR123456789
4	1	3	3	3	0	38	250	84	13	-1	
5	1	3	3	3	1	38	250	84	13	84	fideli@fideli.co
4	1	3	3	4	0	39	267	105	10	-1	
5	1	3	3	4	1	39	267	105	10	24	T:01.67.76.77.67
2	1	4	0	0	0	44	328	125	217	-1	
3	1	4	1	0	0	44	328	94	63	-1	
4	1	4	1	1	0	44	328	73	13	-1	
5	1	4	1	1	1	44	328	73	13	92	Désignation
4	1	4	1	2	0	45	359	93	10	-1	
5	1	4	1	2	1	45	359	46	10	90	Travaux
5	1	4	1	2	2	95	359	43	10	94	Cuisine
4	1	4	1	3	0	45	381	58	10	-1	
5	1	4	1	3	1	45	381	45	10	95	Produit
5	1	4	1	3	2	93	381	10	10	95	A
3	1	4	2	0	0	45	403	58	10	-1	
4	1	4	2	1	0	45	403	58	10	-1	
5	1	4	2	1	1	45	403	36	10	91	Produit
5	1	4	2	1	2	94	403	9	10	91	B
3	1	4	3	0	0	46	425	44	10	-1	
4	1	4	3	1	0	46	425	44	10	-1	
5	1	4	3	1	1	46	425	44	10	96	Service
3	1	4	4	0	0	46	447	62	10	-1	
4	1	4	4	1	0	46	447	62	10	-1	
5	1	4	4	1	1	46	447	62	10	69	Sous-total
3	1	4	5	0	0	45	469	124	32	-1	
4	1	4	5	1	0	45	469	124	10	-1	
5	1	4	5	1	1	45	469	46	10	94	Travaux
5	1	4	5	1	2	95	469	28	10	93	Salle
5	1	4	5	1	3	127	469	14	10	93	de
5	1	4	5	1	4	146	469	23	10	96	bain
4	1	4	5	2	0	45	491	57	10	-1	
5	1	4	5	2	1	45	491	45	10	87	Produit
5	1	4	5	2	2	94	491	8	10	71	C
3	1	4	6	0	0	46	513	44	10	-1	
4	1	4	6	1	0	46	513	44	10	-1	
5	1	4	6	1	1	46	513	44	10	96	Service
3	1	4	7	0	0	46	535	62	10	-1	
4	1	4	7	1	0	46	535	62	10	-1	
5	1	4	7	1	1	46	535	62	10	69	Sous-total
2	1	5	0	0	0	79	396	15	2	-1	
3	1	5	1	0	0	79	396	15	2	-1	
4	1	5	1	1	0	79	396	15	2	-1	
5	1	5	1	1	1	79	396	15	2	95	 
2	1	6	0	0	0	38	681	227	67	-1	
3	1	6	1	0	0	38	681	215	50	-1	
4	1	6	1	1	0	38	681	135	16	-1	
5	1	6	1	1	1	38	681	10	13	35	A
5	1	6	1	1	2	52	687	41	10	35	payer:
5	1	6	1	1	3	99	682	5	12	26	1
5	1	6	1	1	4	112	682	47	15	26	311,00
5	1	6	1	1	5	164	682	9	12	30	€
4	1	6	1	2	0	39	701	118	10	-1	
5	1	6	1	2	1	39	701	16	10	96	En
5	1	6	1	2	2	60	701	30	10	93	lettres
5	1	6	1	2	3	95	691	10	30	89	:
5	1	6	1	2	4	121	701	22	10	61	mille
5	1	6	1	2	5	137	691	16	30	37	tro
4	1	6	1	3	0	39	718	214	13	-1	
5	1	6	1	3	1	39	718	33	10	95	Mode
5	1	6	1	3	2	76	718	15	10	93	de
5	1	6	1	3	3	96	718	61	13	73	réglement
5	1	6	1	3	4	155	708	10	30	92	:
5	1	6	1	3	5	169	718	31	10	93	Carte
5	1	6	1	3	6	205	718	48	10	92	bancaire
3	1	6	2	0	0	39	735	226	13	-1	
4	1	6	2	1	0	39	735	226	13	-1	
5	1	6	2	1	1	39	735	27	10	96	Date
5	1	6	2	1	2	75	738	29	7	96	limite
5	1	6	2	1	3	108	735	15	10	93	de
5	1	6	2	1	4	128	735	61	13	47	rglement
5	1	6	2	1	5	193	738	3	7	92	:
5	1	6	2	1	6	200	735	9	10	93	A
5	1	6	2	1	7	213	735	52	13	87	réception
2	1	7	0	0	0	91	704	76	8	-1	
3	1	7	1	0	0	91	704	76	8	-1	
4	1	7	1	1	0	91	704	76	8	-1	
5	1	7	1	1	1	91	704	76	8	95	  
2	1	8	0	0	0	172	790	102	10	-1	
3	1	8	1	0	0	172	790	102	10	-1	
4	1	8	1	1	0	172	790	102	10	-1	
5	1	8	1	1	1	172	790	27	10	92	Nom
5	1	8	1	1	2	204	790	15	10	96	du
5	1	8	1	1	3	223	790	51	10	91	vendeur
2	1	9	0	0	0	344	381	25	54	-1	
3	1	9	1	0	0	344	381	25	54	-1	
4	1	9	1	1	0	344	381	25	13	-1	
5	1	9	1	1	1	344	381	25	13	0	Ape
4	1	9	1	2	0	344	403	25	13	-1	
5	1	9	1	2	1	344	403	25	13	50	2pce
4	1	9	1	3	0	351	425	17	10	-1	
5	1	9	1	3	1	351	425	17	10	87	5h
2	1	10	0	0	0	345	491	24	32	-1	
3	1	10	1	0	0	345	491	24	32	-1	
4	1	10	1	1	0	345	491	24	13	-1	
5	1	10	1	1	1	345	491	24	13	59	3pc
4	1	10	1	2	0	351	513	17	10	-1	
5	1	10	1	2	1	351	513	17	10	96	2h
2	1	11	0	0	0	168	701	151	10	-1	
3	1	11	1	0	0	168	701	151	10	-1	
4	1	11	1	1	0	168	701	151	10	-1	
5	1	11	1	1	1	168	702	25	9	94	cent
5	1	11	1	1	2	196	704	28	7	89	onze
5	1	11	1	1	3	227	701	8	10	86	€
5	1	11	1	1	4	238	701	26	10	86	zéro
5	1	11	1	1	5	268	702	51	9	59	centimes
2	1	12	0	0	0	457	55	49	1	-1	
3	1	12	1	0	0	457	55	49	1	-1	
4	1	12	1	1	0	457	55	49	1	-1	
5	1	12	1	1	1	457	55	49	1	95	 
2	1	13	0	0	0	470	55	37	46	-1	
3	1	13	1	0	0	470	55	37	46	-1	
4	1	13	1	1	0	470	55	37	46	-1	
5	1	13	1	1	1	470	55	37	46	95	 
2	1	14	0	0	0	457	55	1	59	-1	
3	1	14	1	0	0	457	55	1	59	-1	
4	1	14	1	1	0	457	55	1	59	-1	
5	1	14	1	1	1	457	55	1	59	95	 
2	1	15	0	0	0	457	105	50	10	-1	
3	1	15	1	0	0	457	105	50	10	-1	
4	1	15	1	1	0	457	105	50	10	-1	
5	1	15	1	1	1	457	105	50	10	95	 
2	1	16	0	0	0	505	55	1	59	-1	
3	1	16	1	0	0	505	55	1	59	-1	
4	1	16	1	1	0	505	55	1	59	-1	
5	1	16	1	1	1	505	55	1	59	95	 
2	1	17	0	0	0	457	113	49	1	-1	
